rgz_name,name
 ЈОЖЕФА АТИЛЕ,Јожефа Атиле
 БРАНИЧЕВСКА,Браничевска
 БУК,Бук
 ВЛАШКА,Влашка
 ЕЛЕЗНИЧКА,Железничка
 ЖУПСКА,Жупска
 КОЋУРИЦА,Коћурица
 КРАЉЕВАЧКА,Краљевачка
 НИКОЛЕ ШАЈИЋА,Николе Шајића
 РУСКИ ПУТ,Руски пут
 ТРГ ВОЗДЕНАЦА,Трг Возденаца
 ТРГ ГВОЗДЕНАЦА,Трг Гвозденаца
 ТРГ ГРОЖЂА,Трг грожђа
 ТРГ СТАКЛЕНАЦА,Трг стакленаца
 ТРГ ЦВЕЋА,Трг цвећа
 ФЕБРУАРСКИХ ЖРТАВА,Фебруарских жртава
 ШИРОКА ГРЕДА,Широка греда
1 МАЈА,1. маја
1 НОВА,1. нова
1 НОВЕМБАР,1. новембар
1 РЕОН,1. реон
1. АУТОДРОМСКА,1. аутодромска
1. ВОЈВОЂАНСКЕ БРИГАДЕ,1. војвођанске бригаде
1. ДЕЦЕМБАР,1. децембар
1. ДЕЦЕМБРА,1. децембра
1. ИНТЕРНАЦИОНАЛЕ,1. интернационале
1. КРАЈИШКА,1. крајишка
1. МАЈ,1. мај
1. МАЈА,1. маја
1. НОВА,1. нова
1. НОВЕМБАР,1. новембар
1. НОВЕМБРА,1. новембра
1. НОВИ ПУТ,1. нови пут
1. ОКТОБАР,1. октобар
1. ОКТОБРА,1. октобра
1. СЛАТИНСКА,1. слатинска
1. СРПСКОГ УСТАНКА,1. српског устанка
1. УСТАНКА,1. устанка
1. ШУМАДИЈСКЕ БРИГАДЕ,1. шумадијске бригаде
1.МАЈ,1. мај
1.МАЈА,1. маја
1.ОКТОБАР,1. октобар
1.СРПСКОГ УСТАНКА,1. српског устанка
10 МАРТА,10. марта
10. ЈОВАЧКА,10. јовачка
10. АВГУСТ,10. август
10. БРИГАДЕ,10. бригаде
10. КОВАНЛУЧКА,10. кованлучка
10. НОВА,10. нова
10. НОВЕМБРА,10. новембра
10. ОКТОБРА,10. октобра
10. СРПСКЕ УДАРНЕ БРИГАДЕ,10. српске ударне бригаде
10. ЧИБУКОВАЧКА,10. чибуковачка
10.АВГУСТА,10. августа
10.МАРТА,10. марта
10.ОКТОБРА,10. октобра
10.УДАРНЕ БРИГАДЕ,10. ударне бригаде
11. АПРИЛА,11. априла
11. АУТОДРОМСКА,11. аутодромска
11. КОВАНЛУЧКА,11. кованлучка
11. КОНГРЕСА,11. конгреса
11. НОВА,11. нова
11. НОВЕМБРА,11. новембра
11. ОКТОБАР,11. октобар
11. ОКТОБРА,11. октобра
11. ПУКА,11. пука
11.БРИГАДЕ,11. бригаде
11.МАЈА,11. маја
11.НОВА,11. нова
11.НОВЕМБАР,11. новембар
12 ЈУЛА,12. јула
12. ЈАНУАРА,12. јануара
12. ЈОВАЧКА,12. јовачка
12. ЈУЛА,12. јула
12. АВГУСТА,12. августа
12. АПРИЛА,12. априла
12. БРИГАДЕ,12. бригаде
12. ВОЈВОЂАНСКЕ БРИГАДЕ,12. војвођанске бригаде
12. КОВАНЛУЧКА,12. кованлучка
12. КОРПУСА,12. корпуса
12. МАЈА,12. маја
12. НОВА,12. нова
12. ОКТОБАР,12. октобар
12. ОКТОБРА,12. октобра
12. СЕПТЕМБРА,12. септембра
12. СРПСКЕ БРИГАДЕ,12. српске бригаде
12.ЈУЛА,12. јула
12.ЈУЛИ,12. јули
12.АПРИЛА,12. априла
12.ВОЈВОЂАНСКЕ БРИГАДЕ,12. војвођанске бригаде
12.ВОЈВОЂАНСКЕ УДАРНЕ БРИГАДЕ,12. војвођанске ударне бригаде
12.ДЕЦЕМБРА,12. децембра
12.МАЈА,12. маја
12.НОВА,12. нова
12.ОКТОБАРА,12. октобра
12.ОКТОБРА,12. октобра
12.ПЕШАДИЈСКИ ПУК,12. пешадијски пук
12.СЕПТЕМБАР,12. септембар
12.СЕПТЕМБРА,12. септембра
12.УДАРНЕ БРИГАДЕ,12. ударне бригаде
13 . ОКТОБРА,13. октобра
13 ВОЈВОЂАНСКЕ БРИГАДЕ,13. војвођанске бригаде
13. ЈУЛА,13. јула
13. АПРИЛ,13. април
13. БРИГАДЕ,13. бригаде
13. ДЕЦЕМБАР,13. децембар
13. КОВАНЛУЧКА,13. кованлучка
13. МАЈА,13. маја
13. НОВА,13. нова
13. ОКТОБАР,13. октобар
13. ОКТОБРА,13. октобра
13.ЈУЛИ,13. јули
13.БРИГАДЕ,13. бригаде
13.ВОЈВОЂАНСКЕ БРИГАДЕ,13. војвођанске бригаде
13.ДЕЦЕМБАР,13. децембар
13.МАЈ,13. мај
13.МАЈА,13. маја
13.ОКТОБАР,13. октобар
13.ОКТОБРА,13. октобра
13.ПУК,13. пук
13.ПУКА ХАЈДУК ВЕЉКО 3.ПОЗИВА,13. пука Хајдук Вељко 3. позива
13.СЕПТЕМБРА,13. септембра
1300 КАПЛАРА,1300 каплара
1300 КАПЛАРА 1.ПРИЛАЗ,1300 каплара 1. прилаз
1300 КАПЛАРА 2.ПРИЛАЗ,1300 каплара 2. прилаз
1300. КАПЛАРА,1300 каплара
14 ВУСБ,14. војвођанске ударне словачке бригаде
14. ЈУЛ,14. јул
14. БРИГАДЕ,14. бригаде
14. ДЕЦЕМБАР,14. децембар
14. КОВАНЛУЧКА,14. кованлучка
14. НОВА,14. нова
14. ОКТОБРА,14. октобра
14.АВГУСТ,14. август
14.БРИГАДЕ,14. бригаде
14.ВОЈВОЂАНСКЕ УДАРНЕ БРИГАДЕ,14. војвођанске ударне словачке бригаде
14.ВУСБ,14. војвођанске ударне словачке бригаде
14.ОКТОБАР,14. октобар
14.ОКТОБРА,14. октобра
14.СРПСКЕ УДАРНЕ БРИГАДЕ,14. српске ударне бригаде
15 МАЈА,15. маја
15 НОВЕМБАР,15. новембар
15. АВГУСТА,15. августа
15. АВГУСТА 1942.,15. августа 1942.
15. АПРИЛА,15. априла
15. КОВАНЛУЧКА,15. кованлучка
15. МАЈ,15. мај
15. МАЈА 1945.,15. маја 1945.
15. МАЈЕВИЧКЕ БРИГАДЕ,15. мајевичке бригаде
15. ОКТОБАР,15. октобар
15. ОКТОБРА,15. октобра
15. СЕПТЕМБАР,15. септембар
15. СЕПТЕМБРА,15. септембра
15. ФЕБРУАРА,15. фебруара
15.АВГУСТА,15. августа
15.МАЈ,15. мај
15.МАЈА,15. маја
15.МАРТА,15. марта
16 ВОЈВОЂАНСКЕ ДИВИЗИЈЕ,16. војвођанске дивизије
16 ДИВИЗИЈЕ,16. дивизије
16 ОКТОБРА,16. октобра
"16, СРПСКЕ БРИГАДЕ",16. српске бригаде
16. АПРИЛА,16. априла
16. ДИВИЗИЈЕ,16. дивизије
16. ОКТОБАР,16. октобар
16. ОКТОБРА,16. октобра
16. СЕПТЕМБАР,16. септембар
16. СЕПТЕМБРА,16. септембра
16.ЈУНА 1965.ГОДИНЕ,16. јуна 1965. године
16.БРИГАДЕ,16. бригаде
16.ВОЈВОЂАНСКЕ УДАРНЕ ДИВИЗИЈЕ,16. војвођанске ударне бригаде
16.НОВА,16. нова
16.ОКТОБАР,16. октобар
16.ОКТОБРА,16. октобра
16.ПУК,16. пук
16.СЕПТЕМБРА,16. септембра
16.СРПСКЕ БРИГАДЕ,16. српске бригаде
16.ФЕБРУАРА,16. фебруара
17 СРПСКИХ БРИГАДА,17 српских бригада
17. КОВАНЛУЧКА,17. Кованлучка
17. НОВА,17. нова
