opstina,rgz_name,name
НОВИ БЕОГРАД,БУЛЕВАР МИХАЈЛА ПУПИНА,Булевар Михаила Пупина
ЗЕМУН,БУЛЕВАР МИХАЈЛА ПУПИНА,Булевар Михаила Пупина
